time,od,inducer,replicate,flu,phi,growth_rate,production_rate,gr,pr
4.6947222222222225,0.4416,1000.0,1,4976.0,11268.115942028986,0.2882785845507825,4875.7217216341505,0.2798311608783132,5230.021432945493
4.970833333333333,0.4714,1000.0,1,5613.0,11907.08527789563,0.2658291710381082,5205.181022494747,0.2622411686681343,4929.166478898632
5.246944444444445,0.5108,1000.0,1,6331.0,12394.283476898981,0.24532472832295218,4881.678481224067,0.24149373590210796,4440.775572374255
5.523055555555556,0.5406,1000.0,1,6990.0,12930.07769145394,0.22376210649021813,3835.4432923847235,0.22791377980648297,3919.405977720676
5.799166666666666,0.5776,1000.0,1,7476.0,12943.213296398892,0.2134153716380879,3944.272599928232,0.16970689113427173,3568.411281510398
6.075555555555556,0.6087,1000.0,1,8249.0,13551.831772630196,0.20667850261505996,4037.420143262098,0.14458361802158454,2669.1444874272765
6.351666666666667,0.6471,1000.0,1,8834.0,13651.676711481996,0.1883344573700901,2764.8505777362375,0.1305748258675842,2021.5871025877152
6.627777777777778,0.676,1000.0,1,9237.0,13664.201183431951,0.08625718809900827,2662.721893491127,0.11976972933533221,1658.8962599000515
6.903888888888889,0.6793,1000.0,1,9828.0,14467.834535551303,0.10156626495318148,2020.6621741341642,0.12802178828289323,1444.4348112684104
7.18,0.7141,1000.0,1,9995.0,13996.639126172806,0.1658459368449881,1098.031967184707,0.05405174114680725,1245.7802137606668
7.456111111111111,0.7447,1000.0,1,10261.0,13778.702833355714,0.09969779186964746,1394.9753106449584,0.029759812970201804,450.8345531068429
7.7325,0.7551,1000.0,1,10569.0,13996.821613031387,0.08200883500651768,1522.1247878932832,0.02954556900401198,16.3076192554593
8.008611111111112,0.7789,1000.0,1,10896.0,13988.958788034406,-0.011159523581339955,783.4915514398459,0.03264160647541696,-403.6027695250971
8.284722222222221,0.7503,1000.0,1,10906.0,14535.51912568306,-0.0028962258155097666,-820.5973143941599,0.04680817805411529,-137.48265943710018
8.560833333333333,0.7777,1000.0,1,10556.0,13573.357335733574,0.084291269023424,-349.2732141854591,0.003442987389506018,-140.10800996316323
8.836944444444445,0.7865,1000.0,1,10756.0,13675.778766687858,0.04190431847282045,-43.74626653756057,-0.0036381525577789133,-244.87007571370677
9.113055555555556,0.7959,1000.0,1,10537.0,13239.100389496167,0.007312790031311973,37.61925146639861,-0.002595560472373309,174.25158986753502
9.389444444444445,0.7897,1000.0,1,10773.0,13641.88932506015,-0.03690897821389889,-322.28392028671914,0.020546222758865383,396.2485817781183
9.665555555555555,0.7798,1000.0,1,10397.0,13332.905873300846,0.0020899957322801583,-494.63232330634764,0.01360819443462532,718.958531904431
9.941666666666666,0.7906,1000.0,1,10560.0,13356.944093093853,0.029318333476701233,1003.2367236558736,0.00627577098041533,550.0528845426869
10.217777777777778,0.7926,1000.0,1,10835.0,13670.199343931366,0.03449919806499857,973.2886341516135,0.014619271329716398,587.0014478849681
10.49388888888889,0.8057,1000.0,1,10986.0,13635.348144470647,-0.0128111351489854,276.45081110967317,0.01608903852841997,994.4380262500258
10.77,0.7869,1000.0,1,10958.0,13925.53056296861,-0.012495060961637694,259.52143371050346,0.024529332099107074,449.17554445389914
11.046388888888888,0.8003,1000.0,1,11099.0,13868.549294014745,0.05517749636127845,1047.5307848227956,0.010634844931138605,-25.34260919760499
11.3225,0.8113,1000.0,1,11421.0,14077.40663133243,0.024775796402971013,1700.824942258004,0.013258399156184434,-153.56529662382172
11.598611111111111,0.8114,1000.0,1,11861.0,14617.944293813161,-0.007364869522781231,-794.5131970030657,0.02650935365105324,280.37726892921035
11.874722222222223,0.808,1000.0,1,11065.0,13694.306930693068,0.0051546905193538065,-1371.595912106287,0.0015683499690849025,1584.0492421384201
12.150833333333333,0.8137,1000.0,1,11249.0,13824.505345950596,0.037832995267908016,1090.4804518397116,-0.00760788545987643,1941.3425389588956
12.426944444444445,0.825,1000.0,1,11555.0,14006.060606060606,0.041472601164515586,1493.8839164357782,-0.0025908097712367016,2226.9962604784096
12.703333333333333,0.8326,1000.0,1,11930.0,14328.609176074946,-0.05378155363675357,2037.3153887066167,0.021793020916756733,2562.0936766406676
12.979444444444445,0.8003,1000.0,1,12492.0,15609.146570036237,-0.034167267757488275,2335.140418922378,0.06847029949282113,3040.6605571200516
13.255555555555556,0.8175,1000.0,1,12962.0,15855.65749235474,0.06490318055119715,2401.196167832688,0.06096025695457157,3281.0440625403808
13.531666666666666,0.8296,1000.0,1,13576.0,16364.513018322083,0.05566183989180985,2992.642450653783,0.05285554569823269,3504.490246564015
13.807777777777778,0.843,1000.0,1,14333.0,17002.372479240807,0.07217683324144149,3415.5108587467785,0.04084385613049743,3593.170878165308
14.08388888888889,0.8632,1000.0,1,15166.0,17569.508804448564,0.05559305788391135,3224.397357266867,0.037245827716947705,3564.4470099389882
14.36,0.8695,1000.0,1,15870.0,18251.868890166763,0.028515687940985652,3446.6190130123964,0.059973072743422236,1336.3764037309957
14.636388888888888,0.8769,1000.0,1,16822.0,19183.487284753108,0.02930810637503454,3752.244137373251,0.059803171667589236,1355.0870615863848
14.9125,0.8837,1000.0,1,17688.0,20015.8424804798,0.04836077685986888,3450.8283149160816,0.059619025179041156,1374.512801105907
15.188611111111111,0.9005,1000.0,1,18506.0,20550.805108273184,0.06756809597172109,3289.92276814691,0.05888859146448162,1375.986359612872
0.0,0.1117,1000.0,2,119.0,1065.3536257833482,0.022696609378743567,680.8982813623011,0.16728203178018708,1546.395831504755
0.2761111111111111,0.1124,1000.0,2,140.0,1245.5516014234875,0.06766578116385165,934.4322160722345,0.2702637048035646,2635.0101511718913
0.5522222222222222,0.1159,1000.0,2,177.0,1527.1786022433132,0.16561838676580629,1203.0769604685925,0.34737693495940397,4345.270111902692
0.8283333333333334,0.123,1000.0,2,217.0,1764.2276422764228,0.2398248409077306,2088.624933022524,0.3988916795426347,5972.980624772104
1.1047222222222222,0.1322,1000.0,2,319.0,2413.0105900151284,0.31769823968738514,3574.1464967482034,0.4468261916430508,7029.773192863685
1.3808333333333334,0.1462,1000.0,2,478.0,3269.493844049248,0.34309826125012677,5239.370559884615,0.463987756910822,7216.2110831886
1.6569444444444446,0.1599,1000.0,2,742.0,4640.400250156348,0.3476770567117527,6138.1421738687295,0.4662701175663226,7024.651544006705
1.9330555555555555,0.1769,1000.0,2,1020.0,5765.9694742792535,0.39411141808453903,6029.39286368295,0.42366902828993325,6872.88665541339
2.2091666666666665,0.1984,1000.0,2,1331.0,6708.66935483871,0.3988649639774127,5658.953722334004,0.3655315924210528,6414.576318003368
2.4852777777777777,0.2206,1000.0,2,1640.0,7434.27017225748,0.3495348473021857,5349.180487383699,0.3369848514172151,6048.663552472273
2.7616666666666667,0.241,1000.0,2,1983.0,8228.215767634854,0.28912492625350866,5505.323824236553,0.36097080407757753,5761.707172495555
3.037777777777778,0.2591,1000.0,2,2373.0,9158.626013122346,0.26768096032777133,5164.914613112873,0.429547567147384,5554.904106227481
3.313888888888889,0.2793,1000.0,2,2722.0,9745.793054063732,0.2917613089925159,4797.85263676582,0.47113668174944906,5830.261305972118
3.59,0.3041,1000.0,2,3113.0,10236.764222295298,0.35312168969092483,4811.506328335026,0.44493024070966963,5970.958952461082
3.866111111111111,0.3386,1000.0,2,3530.0,10425.280567040756,0.42249955729652544,4508.444643050267,0.35928781907035545,5587.106788348371
4.142222222222222,0.3831,1000.0,2,3956.0,10326.285565126598,0.3916899673978812,4813.471390356002,0.26872107557971675,5240.117283677267
